Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Month,Month_No,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196601,Water - Precipitation - snow,1/15/66,1/1/66,1/31/66,Jan,A,,-32.99,University of Copenhagen,-233.2,University of Copenhagen,738,36,Chalk River Nuclear Laboratories,17,-27.6,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196602,Water - Precipitation - snow,2/15/66,2/1/66,2/28/66,Feb,B,,-35.28,University of Copenhagen,-263.3,University of Copenhagen,727,36,Chalk River Nuclear Laboratories,17,-20.1,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196603,Water - Precipitation - snow,3/15/66,3/1/66,3/31/66,Mar,C,,-39.56,University of Copenhagen,-305,University of Copenhagen,1430,72,Chalk River Nuclear Laboratories,4,-26.4,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196604,Water - Precipitation - snow,4/15/66,4/1/66,4/30/66,Apr,D,,-28.8,University of Copenhagen,-218.8,University of Copenhagen,1540,77,Chalk River Nuclear Laboratories,4,-21.4,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196605,Water - Precipitation - snow,5/15/66,5/1/66,5/31/66,May,E,,-24.34,University of Copenhagen,-196.4,University of Copenhagen,1750,88,Chalk River Nuclear Laboratories,6,-7.8,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196606,Water - Precipitation - rain & snow ( mixed ),6/15/66,6/1/66,6/30/66,Jun,F,,-22.78,University of Copenhagen,-173.1,University of Copenhagen,1472,74,Chalk River Nuclear Laboratories,9,0.9,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196607,Water - Precipitation - rain & snow ( mixed ),7/15/66,7/1/66,7/31/66,Jul,G,,-14.7,University of Copenhagen,-103.4,University of Copenhagen,755,38,Chalk River Nuclear Laboratories,4,3.1,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196608,Water - Precipitation - rain & snow ( mixed ),8/15/66,8/1/66,8/31/66,Aug,H,,-17.94,University of Copenhagen,-134.8,University of Copenhagen,1268,63,Chalk River Nuclear Laboratories,117,4.9,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196609,Water - Precipitation - snow,9/15/66,9/1/66,9/30/66,Sep,I,,-13.98,University of Copenhagen,-103.4,University of Copenhagen,455,23,Chalk River Nuclear Laboratories,10,-3.1,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196610,Water - Precipitation - snow,10/15/66,10/1/66,10/31/66,Oct,J,,-20.88,University of Copenhagen,-165.1,University of Copenhagen,269,13,Chalk River Nuclear Laboratories,19,-8.7,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196611,Water - Precipitation - snow,11/15/66,11/1/66,11/30/66,Nov,K,,,,,,200,,Chalk River Nuclear Laboratories,1,-15.9,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196612,Water - Precipitation - snow,12/15/66,12/1/66,12/31/66,Dec,L,,-36.02,University of Copenhagen,-256.8,University of Copenhagen,403,20,Chalk River Nuclear Laboratories,7,-24.2,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196701,Water - Precipitation - snow,1/15/67,1/1/67,1/31/67,Jan,A,,-24.04,University of Copenhagen,-173.1,University of Copenhagen,318,16,Chalk River Nuclear Laboratories,5,-21,0.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196702,Water - Precipitation - snow,2/15/67,2/1/67,2/28/67,Feb,B,,-28.66,University of Copenhagen,-204.4,University of Copenhagen,627,31,Chalk River Nuclear Laboratories,6,-25,0.3
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196703,Water - Precipitation - snow,3/15/67,3/1/67,3/31/67,Mar,C,,-28.19,University of Copenhagen,-221.5,University of Copenhagen,742,38,Chalk River Nuclear Laboratories,1,-19,0.5
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196704,Water - Precipitation - snow,4/15/67,4/1/67,4/30/67,Apr,D,,-24.38,University of Copenhagen,-189,University of Copenhagen,497,25,Chalk River Nuclear Laboratories,5,-19,0.6
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196705,Water - Precipitation - snow,5/15/67,5/1/67,5/31/67,May,E,,-17.32,University of Copenhagen,-114.5,University of Copenhagen,468,23,Chalk River Nuclear Laboratories,8,-1,3.5
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196706,Water - Precipitation - rain & snow ( mixed ),6/15/67,6/1/67,6/30/67,Jun,F,,-18.82,University of Copenhagen,-131.7,University of Copenhagen,650,,,11,4,5.3
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196707,Water - Precipitation - rain & snow ( mixed ),7/15/67,7/1/67,7/31/67,Jul,G,,-19.95,University of Copenhagen,-149.6,University of Copenhagen,747,37,Chalk River Nuclear Laboratories,21,4,5.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196708,Water - Precipitation - rain & snow ( mixed ),8/15/67,8/1/67,8/31/67,Aug,H,,-20.1,University of Copenhagen,-149.6,University of Copenhagen,541,27,Chalk River Nuclear Laboratories,2,3,4.3
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196709,Water - Precipitation - rain & snow ( mixed ),9/15/67,9/1/67,9/30/67,Sep,I,,,,,,378,19,Chalk River Nuclear Laboratories,3,5,4.8
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196710,Water - Precipitation - snow,10/15/67,10/1/67,10/31/67,Oct,J,,-17.29,University of Copenhagen,-165.1,University of Copenhagen,190,,Chalk River Nuclear Laboratories,6,-12.1,1.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196711,Water - Precipitation - snow,11/15/67,11/1/67,11/30/67,Nov,K,,,,-227.6,University of Copenhagen,174,,Chalk River Nuclear Laboratories,24,-20.5,0.5
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196712,Water - Precipitation - snow,12/15/67,12/1/67,12/31/67,Dec,L,,-27.7,University of Copenhagen,-208.4,University of Copenhagen,327,,Chalk River Nuclear Laboratories,35,-18.6,0.6
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196801,Water - Precipitation - snow,1/15/68,1/1/68,1/31/68,Jan,A,,-38.02,University of Copenhagen,-295.6,University of Copenhagen,2164,,Chalk River Nuclear Laboratories,1,-28,0.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196802,Water - Precipitation - snow,2/15/68,2/1/68,2/29/68,Feb,B,,-25.41,University of Copenhagen,-198.3,University of Copenhagen,495,,Chalk River Nuclear Laboratories,10,-27,0.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196803,Water - Precipitation - snow,3/15/68,3/1/68,3/31/68,Mar,C,,-31.71,University of Copenhagen,-243.4,University of Copenhagen,547,,Chalk River Nuclear Laboratories,6,-28,0.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196804,Water - Precipitation - snow,4/15/68,4/1/68,4/30/68,Apr,D,,-21.9,University of Copenhagen,-176.8,University of Copenhagen,356,,Chalk River Nuclear Laboratories,7,-13,0.9
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196805,Water - Precipitation - snow,5/15/68,5/1/68,5/31/68,May,E,,-20.34,University of Copenhagen,-165.7,University of Copenhagen,449,,Chalk River Nuclear Laboratories,8,-7,2.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196806,Water - Precipitation - snow,6/15/68,6/1/68,6/30/68,Jun,F,,-15.66,University of Copenhagen,-126,University of Copenhagen,766,,Chalk River Nuclear Laboratories,6,,5.1
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196807,Water - Precipitation - rain,7/15/68,7/1/68,7/31/68,Jul,G,,-19.2,University of Copenhagen,-155.7,University of Copenhagen,487,,Chalk River Nuclear Laboratories,8,4.4,5.7
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196808,Water - Precipitation - rain,8/15/68,8/1/68,8/31/68,Aug,H,,,,,,400,,,10,3,5.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196809,Water - Precipitation - rain & snow ( mixed ),9/15/68,9/1/68,9/30/68,Sep,I,,-19.98,University of Copenhagen,-155.1,University of Copenhagen,350,,Chalk River Nuclear Laboratories,11,-4,3.1
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196810,Water - Precipitation - snow,10/15/68,10/1/68,10/31/68,Oct,J,,-19.19,University of Copenhagen,-150.1,University of Copenhagen,267,,Chalk River Nuclear Laboratories,8,-9,2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196811,Water - Precipitation - snow,11/15/68,11/1/68,11/30/68,Nov,K,,-19.3,University of Copenhagen,-146.9,University of Copenhagen,153,,Chalk River Nuclear Laboratories,4,-15,1
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196812,Water - Precipitation - snow,12/15/68,12/1/68,12/31/68,Dec,L,,-32.56,University of Copenhagen,-246.9,University of Copenhagen,251,,Chalk River Nuclear Laboratories,12,-22,0.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196901,Water - Precipitation - snow,1/15/69,1/1/69,1/31/69,Jan,A,,,,,,149,,Chalk River Nuclear Laboratories,2,-19,0.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196902,Water - Precipitation - snow,2/15/69,2/1/69,2/28/69,Feb,B,,-26.47,University of Copenhagen,-199,University of Copenhagen,319,,Chalk River Nuclear Laboratories,9,-22,0.6
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196903,Water - Precipitation - snow,3/15/69,3/1/69,3/31/69,Mar,C,,-31.07,University of Copenhagen,-232.6,University of Copenhagen,334,,Chalk River Nuclear Laboratories,8,-29,0.5
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196904,Water - Precipitation - snow,4/15/69,4/1/69,4/30/69,Apr,D,,,,,,255,,Chalk River Nuclear Laboratories,3,-20,0.6
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196905,Water - Precipitation - snow,5/15/69,5/1/69,5/31/69,May,E,,,,-123.2,University of Copenhagen,433,,Chalk River Nuclear Laboratories,3,-5,2.5
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196906,Water - Precipitation - snow,6/15/69,6/1/69,6/30/69,Jun,F,,-20.81,University of Copenhagen,-162.6,University of Copenhagen,601,,Chalk River Nuclear Laboratories,126,2,5.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196907,Water - Precipitation - rain,7/15/69,7/1/69,7/31/69,Jul,G,,-16.06,University of Copenhagen,-125.7,University of Copenhagen,596.2,21.1,International Atomic Energy Agency,21,6,6.7
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196908,Water - Precipitation - rain,8/15/69,8/1/69,8/31/69,Aug,H,,-19.55,University of Copenhagen,-155.4,University of Copenhagen,620.1,23.1,International Atomic Energy Agency,19,6,6.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196909,Water - Precipitation - rain & snow ( mixed ),9/15/69,9/1/69,9/30/69,Sep,I,,-22.43,University of Copenhagen,-167.5,University of Copenhagen,197.7,19.1,International Atomic Energy Agency,6,,3.9
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196910,Water - Precipitation - snow,10/15/69,10/1/69,10/31/69,Oct,J,,-21.28,University of Copenhagen,-159.1,University of Copenhagen,221.8,24.4,International Atomic Energy Agency,7,-10.6,1.7
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196911,Water - Precipitation - snow,11/15/69,11/1/69,11/30/69,Nov,K,,-25.83,University of Copenhagen,-193.9,University of Copenhagen,85.9,5.6,International Atomic Energy Agency,28,-16.1,1.1
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196912,Water - Precipitation - snow,12/15/69,12/1/69,12/31/69,Dec,L,,-33.78,University of Copenhagen,-258.4,University of Copenhagen,173.9,24.3,International Atomic Energy Agency,4,-21.5,0.7
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197001,Water - Precipitation - rain,1/15/70,1/1/70,1/31/70,Jan,A,,,,,,172.7,16.7,International Atomic Energy Agency,1,-25,0.7
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197002,Water - Precipitation - snow,2/15/70,2/1/70,2/28/70,Feb,B,,-23.96,University of Copenhagen,-190.2,University of Copenhagen,194.9,26.3,International Atomic Energy Agency,18,-20.6,0.7
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197003,Water - Precipitation - snow,3/15/70,3/1/70,3/31/70,Mar,C,,-30.19,University of Copenhagen,-230.7,University of Copenhagen,372.3,14.9,International Atomic Energy Agency,3,-23.8,0.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197004,Water - Precipitation - snow,4/15/70,4/1/70,4/30/70,Apr,D,,-22.35,University of Copenhagen,,,380.4,14.5,International Atomic Energy Agency,22,-16.7,1.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197005,Water - Precipitation - snow,5/15/70,5/1/70,5/31/70,May,E,,-26.42,University of Copenhagen,,,362,22.1,International Atomic Energy Agency,8,-12.2,1.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197006,Water - Precipitation - rain & snow ( mixed ),6/15/70,6/1/70,6/30/70,Jun,F,,-22.9,University of Copenhagen,,,725.8,27,International Atomic Energy Agency,2,-0.6,2.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197007,Water - Precipitation - rain & snow ( mixed ),7/15/70,7/1/70,7/31/70,Jul,G,,-17.07,University of Copenhagen,,,,,,18,2.2,5.5
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197008,Water - Precipitation - rain & snow ( mixed ),8/15/70,8/1/70,8/31/70,Aug,H,,-21.81,University of Copenhagen,,,,,,5,3.9,4.7
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197009,Water - Precipitation - snow,9/15/70,9/1/70,9/30/70,Sep,I,,-25.35,University of Copenhagen,,,,,,6,-1.8,4.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197010,Water - Precipitation - snow,10/15/70,10/1/70,10/31/70,Oct,J,,-19.37,University of Copenhagen,,,,,,10,-7,2.3
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197011,Water - Precipitation - snow,11/15/70,11/1/70,11/30/70,Nov,K,,-25.73,University of Copenhagen,,,,,,19,-15,1.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197012,Water - Precipitation - snow,12/15/70,12/1/70,12/31/70,Dec,L,,-26.83,University of Copenhagen,,,,,,62,-22.8,0.9
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197101,Water - Precipitation - snow,1/15/71,1/1/71,1/31/71,Jan,A,,-30.75,University of Copenhagen,,,,,,5,-24.4,0.6
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197102,Water - Precipitation - snow,2/15/71,2/1/71,2/28/71,Feb,B,,-33.08,University of Copenhagen,,,,,,5,-27.2,0.3
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197103,Water - Precipitation - snow,3/15/71,3/1/71,3/31/71,Mar,C,,-31.03,University of Copenhagen,,,,,,4,-23.8,0.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197104,Water - Precipitation - snow,4/15/71,4/1/71,4/30/71,Apr,D,,-21.75,University of Copenhagen,,,,,,6,-18.9,1
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197105,Water - Precipitation - snow,5/15/71,5/1/71,5/31/71,May,E,,,,,,,,,4,-6.7,2.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197106,Water - Precipitation - rain & snow ( mixed ),6/15/71,6/1/71,6/30/71,Jun,F,,-17.01,University of Copenhagen,,,,,,1,1.7,4.8
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197107,Water - Precipitation - rain,7/15/71,7/1/71,7/31/71,Jul,G,,-17.5,University of Copenhagen,,,,,,6,4.4,6.7
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197108,Water - Precipitation - rain,8/15/71,8/1/71,8/31/71,Aug,H,,,,,,,,,40,2.2,5.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197109,Water - Precipitation - rain & snow ( mixed ),9/15/71,9/1/71,9/30/71,Sep,I,,-18.62,University of Copenhagen,,,,,,79,-1.1,3.3
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197110,Water - Precipitation - snow,10/15/71,10/1/71,10/31/71,Oct,J,,,,,,,,,49,-10.6,1.7
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197111,Water - Precipitation - snow,11/15/71,11/1/71,11/30/71,Nov,K,,,,,,,,,67,-20,0.7
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],197112,Water - Precipitation - snow,12/15/71,12/1/71,12/31/71,Dec,L,,,,,,,,,25,-30,0.3