study,lake_name,d18Olw,d18Ochiron
verbruggen_2011,NA,-2.6,18.6
verbruggen_2011,NA,-0.3,20.9
verbruggen_2011,NA,-9.7,13.3
verbruggen_2011,NA,-9,15.4
verbruggen_2011,NA,-8.5,14.4
verbruggen_2011,NA,-2.3,18.1
verbruggen_2011,NA,-2.9,18.2
verbruggen_2011,NA,-4.6,19.3
verbruggen_2011,NA,-4.7,19.1
verbruggen_2011,NA,-5.7,17
verbruggen_2011,NA,-8,14.6
verbruggen_2011,NA,-6.9,14.9
verbruggen_2011,NA,-11.5,11.7
verbruggen_2011,NA,-8.7,15
verbruggen_2011,NA,-12.6,9.5
verbruggen_2011,NA,-11.9,12.1
verbruggen_2011,NA,-13,11.4
verbruggen_2011,NA,-12.8,12.7
verbruggen_2011,NA,-12.6,11.3
mayr,NA,-10.9,13.92
mayr,NA,-8.88,14.83
mayr,NA,-7.42,17.66
mayr,NA,-5.17,19.17
mayr,NA,-4.21,18.87
mayr,NA,-3.65,18.33
mayr,NA,-1.91,19.18
lasher_mean,t1,-15.29927042,10.54
lasher_mean,t2,-15.31903605,9.25
chang,Little Llangothlin Lagoon,,
chang,Blue Lake,,
chang,Lake Albina,,
chang,Lake Cootaptamba,,
chang,Nuggety Gully Resrvoir,,
chang,Lake Fyans,,
chang,Freshwater Lake,,
chang,Lake Tooliorook,,
chang,Lake Surprise,,
chang,Lake Mombeong,,
chang,Lake Terangpom,,
chang,Swan Lake,,
chang,Lake Cartcarrong,,
chang,Lake Elingamite,,
chang,Lake Lila,,
chang,Lake Lea Pond,,
lasher_mean,skuup,-13.8,10.8
lasher_mean,pincushion,-13,9.6
lasher_mean,clouds,-14,11.2
lasher_mean,yonder,-14.2,9.6
lombino_mean,main_mean,-7.222142857,14.92714286
lombino_mean,clifton_mean,-2.97,19.34
lombino_mean,church_mean,-3.18,18.99
lombino_mean,beeston_mean,-6.641538462,15.44538462
chang_2017,Lake Albina*,-7.02,22.29
chang_2017,Swan Lake*,4.02,25.81
chang_2017,Lake Cartcarrong*,12.97,30.7
chang_2017,Lake Surprise*,1.18,26.53
chang_2017,Highland Waters,-1.65,22.26
chang_2017,Plimsoll Lake,-2.49,24.8
chang_2017,Plimsoll Lake,-2.49,27.44
chang_2017,Lake Lea Pond*,2.43,21.29
chang_2017,Lake Cantani,-1.72,16.43
chang_2017,Lake Samuel,-2.65,19.34
chang_2017,Lake Samuel,-2.65,25.98
lasher_mean,str,-19.22,2.97
lasher_mean,sec,-18.39,3.84
lasher_mean,wll,-18.25,3.25