core,depth,age,age_min,age_max,d18O,d18Oerr
10N3-2A,0.25,328,388,250,13.6,0.2
10N3-2A,5.25,735,785,673,12,0.2
10N3-2A,11.75,1258,1366,1170,12.5,0.2
10N3-2A,19.75,1869,2034,1753,12.4,0.2
10N3-2A,22.25,2047,2229,1925,12,0.2
10N3-2A,26.75,2349,2551,2217,13.2,0.2
10N3-2A,35.75,2860,3059,2727,12.2,0.2
10N3-2A,39.75,3048,3228,2924,12.5,0.2
10N3-2A,46.75,3327,3454,3228,12.6,0.2
10N3-2A,62.25,3789,3875,3724,12.1,0.2
10N3-2A,72.75,4044,4117,3984,13.8,0.2
10N3-2A,85.75,4353,4412,4297,14.5,0.2
10N3-2A,106.75,4948,5023,4922,14.5,0.2
10N3-2A,121.75,5465,5632,5400,14.6,0.2
10N3-2A,137.75,5951,6178,5837,14.6,0.2
10N3-2A,157.25,6453,6606,6296,13.5,0.2
10N3-2A,170.75,6787,6935,6630,11.6,0.2
10N3-2A,184.25,7145,7263,7025,12.9,0.2
10N3-2A,191.75,7367,7444,7290,12.9,0.2
10N3-2A,204.25,7758,7832,7703,12.2,0.2