age_calBP,TanomFOR15,TanomFRA06-TR,TanomFRA06,Average_Tanom
621,0,0,0,0
1099,-0.658,-0.028,0.126,-0.186666667
1748,-1.202,-0.172,-0.173,-0.515666667
2475,1.156,0.031,0.405,0.530666667
3249,0.423,0.04,0.226,0.229666667
3633,-0.016,-0.087,0.261,0.052666667
4358,1.615,0.261,1.222,1.032666667
4685,2.414,1.362,2.944,2.24
5007,2.256,0.848,2.427,1.843666667
5340,3.299,2.221,4.345,3.288333333
5695,2.813,2.183,4.489,3.161666667
6083,3.328,4.027,6.863,4.739333333
6515,2.74,2.114,4.482,3.112
6989,2.674,0.731,2.132,1.845666667
7472,3.275,4.129,6.098,4.500666667
7946,3.658,4.115,6.422,4.731666667
8870,2.592,1.557,3.039,2.396
9231,3.803,3.953,6.619,4.791666667
10112,3.299,4.143,6.192,4.544666667
10719,-0.316,0.027,0.027,-0.087333333
10979,1.097,0.401,0.821,0.773
11500,-0.618,0.092,0.092,-0.144666667