depth_cm,age_calBP,d18O_chiron,inferred_lw_d18O,recon_age,recon_d18O,recon_inferred_lw_d18O,recon_temp_1,recon_temp_2,recon_temp_3,ave_anom
0,-64,3.84,-18.56,-64,3.84,-18.56,0,0,0,0
5.5,550,2.87,-19.53,408,3.07,-19.33,-1.15,-1.67,-1.3,-1.373333333
6.75,675,2.5,-19.9,718,2.71,-19.69,-1.69,-2.46,-1.92,-2.023333333
9.75,928,2.75,-19.65,893,2.52,-19.88,-1.96,-2.86,-2.23,-2.35
12,1077,2.32,-20.08,1077,2.87,-19.53,-1.44,-2.1,-1.64,-1.726666667
14,1226,3.55,-18.85,1284,3.29,-19.11,-0.82,-1.19,-0.93,-0.98
21,1550,4.01,-18.39,1540,3.87,-18.53,0.05,0.07,0.06,0.06
29,1843,4.06,-18.34,1838,3.98,-18.42,0.2,0.3,0.23,0.243333333
37,2121,3.86,-18.54,2053,4.01,-18.39,0.26,0.38,0.29,0.31
39,2195,4.11,-18.29,2324,3.8,-18.6,-0.05,-0.08,-0.06,-0.063333333
50,2656,3.44,-18.96,2659,4.08,-18.32,0.36,0.53,0.41,0.433333333
59,3127,4.7,-17.7,3146,4.27,-18.13,0.64,0.93,0.73,0.766666667
70,3655,4.67,-17.73,3479,4.47,-17.93,0.94,1.37,1.07,1.126666667
70,3655,4.04,-18.36,3741,4.18,-18.22,0.5,0.73,0.57,0.6
78,3914,3.81,-18.59,3827,4.29,-18.11,0.67,0.98,0.76,0.803333333
78,3914,5.02,-17.38,4022,4.76,-17.64,1.37,1.99,1.55,1.636666667
87.5,4240,5.44,-16.96,4259,5.19,-17.21,2.02,2.94,2.29,2.416666667
100,4624,5.12,-17.28,4566,5.12,-17.28,1.91,2.78,2.17,2.286666667
106,4833,4.8,-17.6,4987,5.17,-17.23,1.98,2.88,2.25,2.37
117,5504,5.58,-16.82,5401,4.91,-17.49,1.6,2.33,1.82,1.916666667
122,5866,4.36,-18.04,5852,5.02,-17.38,1.76,2.57,2,2.11
126,6187,5.12,-17.28,6153,5,-17.4,1.73,2.52,1.97,2.073333333
129,6407,5.51,-16.89,6333,5.45,-16.95,2.41,3.51,2.73,2.883333333
129,6407,5.72,-16.68,6630,5.69,-16.71,2.76,4.02,3.13,3.303333333
138,7077,5.83,-16.57,7026,5.75,-16.65,2.86,4.16,3.24,3.42
145,7595,5.71,-16.69,7422,5.58,-16.82,2.6,3.79,2.96,3.116666667
145,7595,5.22,-17.18,7595,5.93,-16.47,3.12,4.55,3.54,3.736666667
145,7595,6.87,-15.53,NA,NA,NA,NA,NA,NA,