Age,Renland,A84/A87
40,-27.14,-27.18
60,-26.76,-27.03
80,-26.94,-27.24
100,-27.86,-27.25
120,-27.63,-27.67
140,-27.23,-28.49
160,-27.74,-28.02
180,-27.77,-27.84
200,-27.49,-27.8
220,-27.38,-27.63
240,-27.47,-27.63
260,-27.74,-28.32
280,-27.65,-28.48
300,-27.97,-28.56
320,-27.07,-28.54
340,-27.26,-28.02
360,-27.35,-28.37
380,-27.63,-27.8
400,-27.56,-28.14
420,-27.34,-27.72
440,-27.61,-28.37
460,-27.13,-27.98
480,-27.01,-28.13
500,-27.5,-28.76
520,-27.32,-28.06
540,-27.48,-27.87
560,-26.73,-27.62
580,-27.58,-27.82
600,-26.71,-28.05
620,-26.72,-27.9
640,-27.6,-27.86
660,-27.63,-28.16
680,-27,-28.14
700,-27.17,-27.44
720,-27.71,-27.83
740,-27.46,-28.23
760,-27.78,-28.02
780,-27.32,-27.68
800,-27,-27.6
820,-27.5,-27.58
840,-26.55,-28.11
860,-27.21,-27.58
880,-27.46,-27.16
900,-27.11,-28.45
920,-27.41,-28.26
940,-27.76,-28.12
960,-27.35,-27.68
980,-27.42,-27.56
1000,-27.15,-27.87
1020,-27.16,-27.82
1040,-26.81,-27.52
1060,-27.29,-27.5
1080,-27.16,-27.27
1100,-27.39,-27.87
1120,-26.92,-27.7
1140,-27.07,-26.91
1160,-27.03,-26.88
1180,-26.9,-28.13
1200,-27.52,-27.47
1220,-27.88,-27.37
1240,-26.51,-27.76
1260,-26.96,-27.49
1280,-27.2,-28.09
1300,-27.42,-27.64
1320,-27.67,-27.14
1340,-27.28,-27.01
1360,-27.52,-27.62
1380,-27.07,-27.92
1400,-27.29,-27.93
1420,-27.46,-27.56
1440,-27.02,-27.92
1460,-26.89,-27.93
1480,-27.27,-27.63
1500,-26.97,-27.84
1520,-27.2,-27.77
1540,-27.86,-27.47
1560,-26.97,-27.29
1580,-26.71,-27.1
1600,-26.45,-27.19
1620,-27.11,-27.67
1640,-27.26,-27.29
1660,-27.26,-27.32
1680,-26.86,-27.19
1700,-27.73,-27.35
1720,-26.79,-27.43
1740,-27.59,-27.53
1760,-27.33,-27.07
1780,-27.62,-27.33
1800,-27.5,-27.33
1820,-27.43,-27.35
1840,-26.89,-27.64
1860,-27.25,-27.7
1880,-26.53,-27.6
1900,-27.33,-27.84
1920,-27.73,-27.25
1940,-26.81,-27.55
1960,-27.08,-27.96
1980,-27.21,-28.6
2000,-26.96,-28.11
2020,-27.16,-27.46
2040,-26.1,-26.88
2060,-26.98,-27.38
2080,-27.7,-26.73
2100,-26.96,-27.27
2120,-27.09,-27.38
2140,-27.37,-27.59
2160,-26.73,-27.44
2180,-27.14,-27.41
2200,-27.45,-27.57
2220,-27.59,-27.65
2240,-27.45,-27.82
2260,-26.85,-28.05
2280,-27.27,-27.9
2300,-26.97,-28.19
2320,-26.95,-28.22
2340,-27.89,-27.5
2360,-27.56,-26.73
2380,-27.34,-27.12
2400,-27.4,-26.9
2420,-26.85,-26.93
2440,-27.32,-27.07
2460,-27.16,-26.93
2480,-27.77,-27.23
2500,-27.62,-27.41
2520,-26.65,-27.02
2540,-26.79,-27.05
2560,-26.74,-27.21
2580,-26.92,-27.27
2600,-27.09,-27.1
2620,-27.49,-27.59
2640,-26.83,-28.11
2660,-26.96,-27.49
2680,-26.76,-28.34
2700,-26.75,-27.82
2720,-27.6,-27.85
2740,-27.34,-27.25
2760,-27.25,-26.47
2780,-26.84,-26.66
2800,-27.03,-27.81
2820,-27.13,-27.67
2840,-26.7,-27.49
2860,-27.33,-27.47
2880,-27.02,-27
2900,-26.88,-27.14
2920,-27.18,-26.85
2940,-27.24,-26.82
2960,-26.77,-27.83
2980,-26.36,-26.47
3000,-27.04,-27.16
3020,-26.91,-27.18
3040,-26.7,-26.6
3060,-27.15,-27.57
3080,-26.95,-26.61
3100,-27.12,-27.36
3120,-26.97,-27.5
3140,-26.86,-27.64
3160,-27.36,-26.83
3180,-26.37,-27.03
3200,-26.82,-26.81
3220,-27.17,-26.7
3240,-27.14,-26.45
3260,-27.02,-27.22
3280,-26.59,-27.21
3300,-27.13,-26.81
3320,-26.74,-27.06
3340,-26.81,-27.35
3360,-26.93,-27.49
3380,-27.28,-27.04
3400,-26.63,-27.67
3420,-26.91,-27.16
3440,-26.95,-27.32
3460,-26.87,-26.66
3480,-26.6,-26.75
3500,-26.89,-27.28
3520,-27.17,-27.33
3540,-26.61,-27.04
3560,-26.79,-27.27
3580,-27.22,-27.47
3600,-26.44,-27.09
3620,-26.18,-27.52
3640,-26.39,-27.93
3660,-26.42,-27.7
3680,-26.62,-27.3
3700,-26.56,-27.11
3720,-26.61,-27.19
3740,-26.94,-26.96
3760,-26.78,-27.3
3780,-26.47,-27.54
3800,-27.2,-27.48
3820,-27.09,-27.22
3840,-26.82,-27.74
3860,-26.69,-27.4
3880,-26.5,-27.49
3900,-26.21,-26.87
3920,-26.69,-27.22
3940,-26.24,-27.27
3960,-26.76,-27.4
3980,-26.44,-27.07
4000,-26.44,-27.4
4020,-26.96,-27.52
4040,-27.02,-27.07
4060,-26.66,-27.29
4080,-26.66,-26.8
4100,-26.51,-26.87
4120,-27.07,-27.06
4140,-26.69,-27.09
4160,-26.42,-27.16
4180,-26.4,-26.51
4200,-26.67,-26.29
4220,-26.68,-26.7
4240,-26.69,-26.8
4260,-27.01,-26.73
4280,-26.56,-27.22
4300,-26.84,-27.82
4320,-26.95,-27.63
4340,-26.98,-28.1
4360,-26.51,-27.2
4380,-26.51,-27.14
4400,-26.04,-27.56
4420,-26.4,-27
4440,-26.71,-27.38
4460,-26.53,-27.24
4480,-26.02,-26.95
4500,-26.84,-27.44
4520,-26.56,-27.38
4540,-27.01,-26.85
4560,-26.93,-27.53
4580,-26.52,-26.85
4600,-26.15,-26.61
4620,-26.46,-27.09
4640,-26.7,-27.13
4660,-26.93,-26.98
4680,-27.15,-26.54
4700,-26.67,-26.85
4720,-26.92,-26.85
4740,-26.52,-26.52
4760,-26.79,-26.37
4780,-27.09,-26.77
4800,-26.94,-26.76
4820,-26.16,-26.92
4840,-26.55,-27.64
4860,-26.73,-27.01
4880,-26.33,-27.31
4900,-26.47,-27.46
4920,-26.33,-27.28
4940,-26.45,-26.45
4960,-27,-26.45
4980,-26.36,-26.58
5000,-26.77,-26.24
5020,-26.72,-26.43
5040,-26.33,-26.75
5060,-26.53,-27.15
5080,-25.68,-26.96
5100,-26.95,-26.7
5120,-26.86,-26.95
5140,-26.45,-26.79
5160,-26.41,-27.09
5180,-26.26,-26.75
5200,-26.37,-26.43
5220,-26.49,-27.46
5240,-26.62,-26.81
5260,-26.63,-26.81
5280,-26.48,-27.03
5300,-26.41,-27.08
5320,-25.83,-26.97
5340,-25.85,-26.55
5360,-26.34,-26.45
5380,-26.64,-26.82
5400,-26.9,-26.75
5420,-26.75,-26.76
5440,-27,-26.68
5460,-26.76,-26.49
5480,-26.93,-26.82
5500,-26.72,-26.84
5520,-26.59,-26.62
5540,-26.88,-26.46
5560,-26.27,-26.43
5580,-26.56,-26.79
5600,-26.91,-26.7
5620,-27.13,-26.75
5640,-26.66,-26.55
5660,-26.51,-26.63
5680,-26.47,-26.94
5700,-26.33,-26.54
5720,-26.61,-26.69
5740,-26.48,-26.83
5760,-26.65,-26.53
5780,-26.32,-26.36
5800,-26.61,-26.59
5820,-26.28,-26.5
5840,-26.73,-26.58
5860,-26.5,-26.93
5880,-26.41,-27.14
5900,-26.13,-26.63
5920,-26.91,-26.52
5940,-26.83,-26.74
5960,-26.72,-26.67
5980,-26.59,-26.86
6000,-26.42,-27.31
6020,-26.47,-27.57
6040,-26.33,-26.72
6060,-25.95,-27.12
6080,-26.18,-26.73
6100,-25.99,-27.41
6120,-26.6,-27.3
6140,-26.89,-26.68
6160,-26.74,-26.51
6180,-26.5,-26.96
6200,-26.74,-27.14
6220,-27.01,-27.42
6240,-26.53,-26.69
6260,-26.44,-26.44
6280,-25.98,-26.62
6300,-26.23,-26.91
6320,-26.48,-26.69
6340,-26.43,-27.03
6360,-26.19,-26.62
6380,-25.81,-26.25
6400,-26.1,-26.55
6420,-26.17,-26.92
6440,-26.16,-26.62
6460,-26.34,-26.81
6480,-26.56,-26.91
6500,-26.51,-26.57
6520,-26.1,-26.33
6540,-25.62,-26.74
6560,-25.86,-27.01
6580,-26.01,-26.66
6600,-26.09,-26.77
6620,-26.34,-26.54
6640,-26.76,-26.46
6660,-26.62,-26.9
6680,-26.54,-26.92
6700,-26.58,-26.59
6720,-26.58,-26.44
6740,-26.37,-26.43
6760,-26.2,-26.84
6780,-26.29,-26.6
6800,-26.5,-26.17
6820,-27.03,-26.47
6840,-26.2,-26.64
6860,-26.03,-26.59
6880,-26.31,-26.54
6900,-26.49,-26.74
6920,-26.16,-26.35
6940,-26.49,-26.51
6960,-26.35,-26.54
6980,-26.13,-26.53
7000,-26.16,-26.9
7020,-26.23,-27.1
7040,-26.25,-26.73
7060,-26.45,-26.71
7080,-26.48,-26.83
7100,-26.26,-25.91
7120,-25.98,-26.63
7140,-26.81,-27.27
7160,-26.5,-26.89
7180,-26.27,-27.16
7200,-26.06,-26.44
7220,-26.61,-27.04
7240,-25.9,-27
7260,-26.1,-26.7
7280,-26.25,-26.4
7300,-26.54,-26.32
7320,-26.52,-26.91
7340,-26.09,-26.93
7360,-26.29,-26.41
7380,-26.14,-26.91
7400,-26.49,-27.16
7420,-26.23,-26.65
7440,-25.89,-27.3
7460,-26.21,-26.75
7480,-26.27,-27.24
7500,-26.24,-26.36
7520,-26.23,-26.35
7540,-26.01,-26.73
7560,-26.42,-26.77
7580,-26.22,-26.7
7600,-26.13,-26.8
7620,-26.46,-27.06
7640,-26.54,-27.1
7660,-25.66,-27.05
7680,-26.12,-26.34
7700,-25.99,-26.8
7720,-25.95,-26.44
7740,-25.87,-26.78
7760,-26.03,-26.39
7780,-25.82,-26.04
7800,-25.94,-26.38
7820,-26.07,-26.27
7840,-26.13,-25.81
7860,-26.02,-26.1
7880,-25.77,-26.62
7900,-25.82,-27.11
7920,-25.62,-26.39
7940,-25.95,-26.31
7960,-26.02,-25.58
7980,-26.1,-26.11
8000,-25.45,-26.53
8020,-25.89,-26.68
8040,-25.61,-26.5
8060,-25.77,-26.51
8080,-25.91,-26.65
8100,-25.72,-26.33
8120,-26.44,-26.74
8140,-26.25,-26.87
8160,-26.44,-27.64
8180,-26.85,-27.33
8200,-27.13,-27.13
8220,-27.49,-27.32
8240,-27.86,-26.83
8260,-26.63,-26.72
8280,-26.48,-26.44
8300,-26.36,-26.45
8320,-26.26,-26.54
8340,-26.2,-26.47
8360,-25.91,-26.44
8380,-26.14,-26.23
8400,-25.86,-26.46
8420,-26.02,-25.94
8440,-26.07,-25.61
8460,-26.35,-26.12
8480,-26.53,-26.68
8500,-26.08,-26.78
8520,-26.55,-26.48
8540,-26.28,-26.59
8560,-26.66,-26.01
8580,-26.53,-26.65
8600,-26.48,-26.21
8620,-26.34,-26.76
8640,-26.28,-26.8
8660,-25.94,-26.66
8680,-26.35,-26.6
8700,-26.31,-26.43
8720,-26.15,-26.77
8740,-26.14,-26.58
8760,-26.47,-26.26
8780,-26.12,-26.09
8800,-25.97,-26.19
8820,-25.26,-26.52
8840,-26.07,-26.1
8860,-25.97,-27.27
8880,-25.69,-26.34
8900,-26.17,-26.98
8920,-25.62,-26.5
8940,-26.03,-26.3
8960,-26.33,-26.3
8980,-26.27,-26.55
9000,-26.22,-26.71
9020,-25.83,-26.54
9040,-26.25,-27.35
9060,-25.95,-27.31
9080,-26.44,-27.06
9100,-25.78,-26.36
9120,-26.1,-26.63
9140,-25.72,-26.58
9160,-25.65,-26.48
9180,-26.17,-26.4
9200,-26.19,-26.56
9220,-25.39,-26.59
9240,-25.78,-26.47
9260,-25.57,-26.44
9280,-26.51,-26.41
9300,-26.95,-26.74
9320,-26.23,-26.91
9340,-26.16,-26.53
9360,-26.04,-26.84
9380,-25.99,-26.79
9400,-25.84,-27.18
9420,-26.13,-26.87
9440,-25.85,-27.05
9460,-25.53,-27.08
9480,-26.07,-26.5
9500,-26.13,-26.38
9520,-26.04,-26.11
9540,-26.32,-26.36
9560,-26.04,-26.28
9580,-25.81,-26.38
9600,-26.52,-26.28
9620,-25.76,-27.17
9640,-26.33,-26.57
9660,-26.63,-26.04
9680,-26.03,-25.87
9700,-26.11,-26.29
9720,-25.52,-26.53
9740,-25.69,-26.8
9760,-26.11,-26.61
9780,-26.36,-26.42
9800,-25.73,-26.63
9820,-26.18,-26.96
9840,-26.66,-27.48
9860,-25.9,-26.99
9880,-26.31,-27.21
9900,-26.34,-26.86
9920,-26.47,-26.89
9940,-26.1,-26.22
9960,-26.68,-25.77
9980,-25.87,-25.68
10000,-26.84,-25.98
10020,-26.31,-25.85
10040,-26.2,-26.45
10060,-26.36,-26.51
10080,-26.73,-26.18
10100,-26.56,-26.78
10120,-26.36,-26.69
10140,-26.84,-26.51
10160,-26.78,-26.78
10180,-26.99,-26.85
10200,-27.07,-26.83
10220,-26.83,-26.83
10240,-26.61,-26
10260,-26.66,-26.77
10280,-26.98,-27.6
10300,-26.71,-27.81
10320,-26.98,-27.13
10340,-27.29,-26.32
10360,-27.14,-26.95
10380,-27.26,-26.61
10400,-27.23,-26.44
10420,-27.63,-26.44
10440,-26.76,-26.55
10460,-27.28,-26.81
10480,-27.03,-26.75
10500,-26.54,-26.49
10520,-26.7,-26.7
10540,-27.09,-27.02
10560,-27.68,-26.79
10580,-27.2,-27.59
10600,-26.95,-27.57
10620,-26.98,-27.2
10640,-27.15,-27.23
10660,-26.84,-27.38
10680,-27.02,-27.27
10700,-27.14,-27.23
10720,-27.3,-27.04
10740,-27.55,-27.28
10760,-27.33,-27.26
10780,-27.17,-27.41
10800,-27.68,-27.33
10820,-27.44,-27.31
10840,-27.3,-27.65
10860,-27.8,-27.72
10880,-27.85,-27.83
10900,-27.65,-28.34
10920,-27.62,-28.65
10940,-27.94,-28.39
10960,-27.62,-27.87
10980,-27.99,-27.85
11000,-27.91,-27.91
11020,-28.23,-27.72
11040,-28.29,-27.84
11060,-28.04,-27.88
11080,-27.85,-27.94
11100,-27.79,-28.07
11120,-27.78,-28.19
11140,-27.94,-28.16
11160,-28.36,-28.15
11180,-28.01,-28.22
11200,-28.23,-28.18
11220,-28.11,-28.2
11240,-27.93,-28.22
11260,-28.02,-28.17
11280,-28.13,-28.39
11300,-28.33,-28.44
11320,-28.18,-28.58
11340,-27.93,-28.05
11360,-28.46,-28.29
11380,-29.32,-28.78
11400,-29.75,-28.9
11420,-29.8,-28.82
11440,-29.66,-28.93
11460,-29.48,-28.84
11480,-29.39,-28.87
11500,-29.12,-28.75
11520,-29.02,-28.5
11540,-28.75,-28.74
11560,-28.52,-28.94
11580,-28.6,-28.85
11600,-28.41,-29.05
11620,-28.21,-29.56
11640,-28.13,-29.36
11660,-28.26,-29.41
11680,-29.01,-29.87
11700,-29.94,-32.37