ID,Core Depth_Top,Core Depth_bottom,Depth,Age,C21,C23,C25,C27,C29,C31,C33,stdev_C21,stdev_C23,stdev_C25,stdev_C27,stdev_C29,stdev_C31,stdev_C33,analytical_duplicates
Co 1211-2A_0-1_101958,0,1,0.5,0,-298.7,-317.9,-327.8,-315.8,-308.5,-277.9,-292.6,5.4,5.9,3.1,2.7,4.2,2.8,12.4,2
Co 1211-2A_4-5_101959,4,5,4.5,350,-301.6,-281.1,-266.3,-262.3,-267.9,-277.5,-287.2,0.3,0.9,1.7,1.6,3.7,3.4,6.8,2
Co 1211-2A_8-9_101960,8,9,8.5,750,,-276.4,-286.3,-270.1,-277.2,-277.8,,,0.1,4.4,8.4,3.7,4.8,,2
Co 1211-2A_12-13_101961,12,13,12.5,1150,,-302.5,-294.4,-287.9,-277.0,-281.3,,,16.8,31.7,12.9,3.2,12.2,,2
Co 1211-2A_16-17_101962,16,17,16.5,1590,,-287.1,-277.8,-293.7,-278.9,-276.0,,,1.4,0.6,7.4,7.5,11.5,,2
Co 1211-2A_20-21_101963,20,21,20.5,2037,,-279.2,-265.7,-261.6,-257.3,-280.4,,,16.8,3.6,14.5,1.6,2.4,,2
Co 1211-2A_24-25_101964,24,25,24.5,2483,,-275.8,-276.3,-269.9,-268.3,-273.5,,,13.3,5.2,2.4,0.4,1.7,,2
Co 1211-2A_28-29_101965,28,29,28.5,2929,,-257.2,-263.0,-250.4,-263.3,-266.6,,,3.8,3.2,3.1,4.2,2.6,,2
Co 1211-2A_32-33_101966,32,33,32.5,3375,-290.5,-276.4,-274.7,-260.7,-259.0,-273.9,-264.9,3.4,0.1,0.2,0.8,9.7,0.5,5.0,2
Co 1211-2A_36-37_101967,36,37,36.5,3821,,-294.7,-266.7,-252.1,-258.4,-263.7,-251.8,,,,,,,,1
Co 1211-2A_40-41_101968,40,41,40.5,4219,,-302.7,-265.1,-252.5,-256.8,-263.4,-265.8,,,,,,,,1
Co 1211-2A_44-45_101969,44,45,44.5,4537,-288.9,-311.1,-285.0,-259.5,-259.9,-263.3,-259.5,,,,,,,,1
Co 1211-2A_52-53_101971,52,53,52.5,5172,-267.7,-297.1,-292.2,-264.7,-262.3,-271.2,-263.9,,,,,,,,1
Co 1211-4A_48-49_101986,58,59,58.5,5649,-322.6,-332.8,-296.8,-264.2,-259.8,-262.2,-263.4,0.2,0.6,0.9,0.0,0.5,1.4,3.5,2
Co 1211-4A_52-53_101987,62,63,62.5,5966,-317.5,-340.7,-283.3,-260.9,-263.5,-267.9,-267.3,0.8,0.4,0.7,0.5,1.3,1.2,0.9,2
Co 1211-4A_56-57_101988,66,67,66.5,6284,-337.7,-368.0,-285.2,-258.5,-251.9,-258.7,-260.5,0.6,0.2,0.5,1.4,0.2,1.6,1.5,2
Co 1211-4A_60-61_101989,70,71,71.5,6681,-352.4,-382.0,-285.0,-262.6,-263.2,-261.6,-266.3,5.7,0.1,0.7,0.4,1.0,0.1,1.2,2
Co 1211-4A_64-65_101990,74,75,74.5,6879,,-342.2,-271.9,-253.1,-254.4,-261.4,-260.9,,,,,,,,1
Co 1211-4A_68-69_101991,78,79,78.5,7089,-293.9,-333.4,-274.1,-247.3,-249.7,-253.0,-264.0,4.9,6.4,7.1,4.1,6.0,11.1,11.6,2
Co 1211-4A_72-73_101992,82,83,82.5,7300,-291.5,-334.2,-251.0,-239.2,-242.9,-253.3,-265.2,6.7,6.6,8.3,8.3,9.3,9.0,8.9,2
Co 1211-4A_76-77_101993,86,87,86.5,7511,-303.2,-331.7,-250.8,-243.9,-249.0,-257.2,-257.6,0.3,0.8,2.2,1.3,0.5,0.2,1.5,2
Co 1211-4A_80-81_101994,90,91,90.5,7721,-277.2,-262.4,-249.7,-248.7,-253.9,-260.1,-254.7,6.5,1.9,2.5,1.2,0.2,1.2,0.5,2
Co 1211-4A_84-85_101995,94,95,94.5,8000,-269.9,-265.4,-249.7,-249.6,-254.1,-258.4,-251.5,8.3,1.3,0.5,1.0,0.8,0.3,2.2,2
Co 1211-4A_88-89_101996,98,99,98.5,8320,-265.2,-258.9,-251.5,-249.7,-254.5,-256.2,-251.8,3.1,2.3,0.8,0.8,0.2,0.5,2.2,2
Co 1211-4A_92-93_101997,102,103,102.5,8640,-247.9,-251.4,-249.9,-248.7,-254.0,-253.3,-239.9,2.8,0.7,0.7,0.1,0.2,4.3,13.4,2