Depth,Age,C21,C23,C25,C27,C29,C31,stdev_C21,stdev_C23,stdev_C25,stdev_C27,stdev_C29,stdev_C31,analytical_duplicates
0,600,-224.2,-278.1,-278.6,-278.1,-270.1,-203.2,,4,2.7,,5.3,28.9,2
9,780,-164.2,-204.9,-347.3,-201.9,-173.4,-132.6,82.1,57.1,222.7,33.7,41.2,33.7,3
14,890,-247.8,-254.7,-231.1,-230.1,-209.7,-150.7,1.5,4,3.7,0.1,1.3,0,2
19,995,-267.9,-288.5,-249.1,-232.2,-221.8,-179.2,1.3,1.9,7.5,1.5,0.7,4.1,2
24,1079,-260.7,-279.2,-252.6,-238.2,-219.5,-168.3,18.9,11.1,9.4,3.3,4.3,3.1,3
29,1119,-199.5,-200.3,-170.4,-135.3,-96.2,-74.3,4,3.4,0.2,0.5,0.3,4.4,2
39,1180,-285.4,-272.4,-247.7,-237.3,-228.4,-201.8,,,,,,,1
44,1210,-236.6,-246,-217.1,-213.5,-193.5,-165.8,5.7,10.4,13,1.4,6.2,8.1,2
49,1276,-260.9,-244.1,-218.7,-204.6,-198.1,-141.7,9.9,3.5,5,3.7,6.5,7.2,3
54,1792,-260.3,-247.1,-232.2,-222.6,-200.7,-167.6,5.3,0.2,0.8,2.1,0.8,4.6,2
59,2055,-244.1,-245.7,-229.6,-226.7,-207.8,-169.8,,,,,,,1
68.5,2347,-248.1,-236.8,-214.7,-203.6,-177.7,-152.3,,,,,,,1
75.5,2824,-225.1,-241.1,-233.6,-222.5,-215.8,-194.6,22.2,21.7,18.5,17.6,18.9,24.8,3
80.5,3282,-329.7,-306.5,-271.7,-267.4,-256.3,-178,1.3,3.8,4,4,7.7,64.3,3
85.5,3831,-328.8,-308,-281.9,-274.5,-264.6,-214.9,1.1,2.6,3.6,1.3,1.2,1.9,2
95.5,4657,-334.8,-308.8,-283.4,-277.2,-267.7,-194.8,,,,,,,1
105.5,5572,-319.1,-301.7,-282.3,-278.1,-271.2,-222.4,4.1,0.5,2,0.6,0.6,1.8,2
115.5,6526,-356.5,-314.9,-256.2,-244.9,-232.4,-191.1,0.1,2.4,0,0.4,0.6,5.3,2
125.5,7498,-360.3,-300.8,-246.2,-234,-228.7,-191.3,2.5,1.6,1.2,2.1,1.8,2.9,2
135.5,8286,-313.1,-310,-252.6,-243.5,-234.7,-201.3,2.6,1.3,0.6,0.3,4.3,4.5,2
145.5,9028,-362.2,-346.2,-255.3,-241.4,-246.9,-206.1,,,,,,,1
155.5,9756,-329.7,-320.8,-262.8,-259.5,-268.7,-220.8,0.1,0,1.7,1.6,0.1,,2
160.5,10000,-285.1,-272.5,-239.8,-241.7,-240.1,-220.8,1.9,2.5,3.7,0.8,0.7,4.2,2